time,drone,x,y,z,roll,pitch,yaw
2,0,0,0,2,0,0,0
2,1,0,0,2,0,0,0
2,2,0,0,2,0,0,0
2,3,0,0,2,0,0,0
2,4,0,0,2,0,0,0
2,5,0,0,2,0,0,0
2,6,0,0,2,0,0,0
2,7,0,0,2,0,0,0
2,8,0,0,2,0,0,0
2,9,0,0,2,0,0,0
2,10,0,0,2,0,0,0
2,11,0,0,2,0,0,0
2,12,0,0,2,0,0,0
2,13,0,0,2,0,0,0
2,14,0,0,2,0,0,0
2,15,0,0,2,0,0,0
2,16,0,0,2,0,0,0
2,17,0,0,2,0,0,0
2,18,0,0,2,0,0,0
2,19,0,0,2,0,0,0
2,20,0,0,2,0,0,0
2,21,0,0,2,0,0,0
2,22,0,0,2,0,0,0
2,23,0,0,2,0,0,0
2,24,0,0,2,0,0,0
2,25,0,0,2,0,0,0
2,26,0,0,2,0,0,0
2,27,0,0,2,0,0,0
2,28,0,0,2,0,0,0
2,29,0,0,2,0,0,0
2,30,0,0,2,0,0,0
2,31,0,0,2,0,0,0
5,0,2,0,0,0,0,0
5,1,2,0,0,0,0,0
5,2,2,0,0,0,0,0
5,3,2,0,0,0,0,0
5,4,2,0,0,0,0,0
5,5,2,0,0,0,0,0
5,6,2,0,0,0,0,0
5,7,2,0,0,0,0,0
5,8,2,0,0,0,0,0
5,9,2,0,0,0,0,0
5,10,2,0,0,0,0,0
5,11,2,0,0,0,0,0
5,12,2,0,0,0,0,0
5,13,2,0,0,0,0,0
5,14,2,0,0,0,0,0
5,15,2,0,0,0,0,0
5,16,2,0,0,0,0,0
5,17,2,0,0,0,0,0
5,18,2,0,0,0,0,0
5,19,2,0,0,0,0,0
5,20,2,0,0,0,0,0
5,21,2,0,0,0,0,0
5,22,2,0,0,0,0,0
5,23,2,0,0,0,0,0
5,24,2,0,0,0,0,0
5,25,2,0,0,0,0,0
5,26,2,0,0,0,0,0
5,27,2,0,0,0,0,0
5,28,2,0,0,0,0,0
5,29,2,0,0,0,0,0
5,30,2,0,0,0,0,0
5,31,2,0,0,0,0,0
10,0,0,2,0,0,0,0
10,1,0,2,0,0,0,0
10,2,0,2,0,0,0,0
10,3,0,2,0,0,0,0
10,4,0,2,0,0,0,0
10,5,0,2,0,0,0,0
10,6,0,2,0,0,0,0
10,7,0,2,0,0,0,0
10,8,0,2,0,0,0,0
10,9,0,2,0,0,0,0
10,10,0,2,0,0,0,0
10,11,0,2,0,0,0,0
10,12,0,2,0,0,0,0
10,13,0,2,0,0,0,0
10,14,0,2,0,0,0,0
10,15,0,2,0,0,0,0
10,16,0,2,0,0,0,0
10,17,0,2,0,0,0,0
10,18,0,2,0,0,0,0
10,19,0,2,0,0,0,0
10,20,0,2,0,0,0,0
10,21,0,2,0,0,0,0
10,22,0,2,0,0,0,0
10,23,0,2,0,0,0,0
10,24,0,2,0,0,0,0
10,25,0,2,0,0,0,0
10,26,0,2,0,0,0,0
10,27,0,2,0,0,0,0
10,28,0,2,0,0,0,0
10,29,0,2,0,0,0,0
10,30,0,2,0,0,0,0
10,31,0,2,0,0,0,0
15,0,-2,0,0,0,0,0
15,1,-2,0,0,0,0,0
15,2,-2,0,0,0,0,0
15,3,-2,0,0,0,0,0
15,4,-2,0,0,0,0,0
15,5,-2,0,0,0,0,0
15,6,-2,0,0,0,0,0
15,7,-2,0,0,0,0,0
15,8,-2,0,0,0,0,0
15,9,-2,0,0,0,0,0
15,10,-2,0,0,0,0,0
15,11,-2,0,0,0,0,0
15,12,-2,0,0,0,0,0
15,13,-2,0,0,0,0,0
15,14,-2,0,0,0,0,0
15,15,-2,0,0,0,0,0
15,16,-2,0,0,0,0,0
15,17,-2,0,0,0,0,0
15,18,-2,0,0,0,0,0
15,19,-2,0,0,0,0,0
15,20,-2,0,0,0,0,0
15,21,-2,0,0,0,0,0
15,22,-2,0,0,0,0,0
15,23,-2,0,0,0,0,0
15,24,-2,0,0,0,0,0
15,25,-2,0,0,0,0,0
15,26,-2,0,0,0,0,0
15,27,-2,0,0,0,0,0
15,28,-2,0,0,0,0,0
15,29,-2,0,0,0,0,0
15,30,-2,0,0,0,0,0
15,31,-2,0,0,0,0,0
20,0,0,-2,0,0,0,0
20,1,0,-2,0,0,0,0
20,2,0,-2,0,0,0,0
20,3,0,-2,0,0,0,0
20,4,0,-2,0,0,0,0
20,5,0,-2,0,0,0,0
20,6,0,-2,0,0,0,0
20,7,0,-2,0,0,0,0
20,8,0,-2,0,0,0,0
20,9,0,-2,0,0,0,0
20,10,0,-2,0,0,0,0
20,11,0,-2,0,0,0,0
20,12,0,-2,0,0,0,0
20,13,0,-2,0,0,0,0
20,14,0,-2,0,0,0,0
20,15,0,-2,0,0,0,0
20,16,0,-2,0,0,0,0
20,17,0,-2,0,0,0,0
20,18,0,-2,0,0,0,0
20,19,0,-2,0,0,0,0
20,20,0,-2,0,0,0,0
20,21,0,-2,0,0,0,0
20,22,0,-2,0,0,0,0
20,23,0,-2,0,0,0,0
20,24,0,-2,0,0,0,0
20,25,0,-2,0,0,0,0
20,26,0,-2,0,0,0,0
20,27,0,-2,0,0,0,0
20,28,0,-2,0,0,0,0
20,29,0,-2,0,0,0,0
20,30,0,-2,0,0,0,0
20,31,0,-2,0,0,0,0
25,0,2,0,0,0,0,0
25,1,2,0,0,0,0,0
25,2,2,0,0,0,0,0
25,3,2,0,0,0,0,0
25,4,2,0,0,0,0,0
25,5,2,0,0,0,0,0
25,6,2,0,0,0,0,0
25,7,2,0,0,0,0,0
25,8,2,0,0,0,0,0
25,9,2,0,0,0,0,0
25,10,2,0,0,0,0,0
25,11,2,0,0,0,0,0
25,12,2,0,0,0,0,0
25,13,2,0,0,0,0,0
25,14,2,0,0,0,0,0
25,15,2,0,0,0,0,0
25,16,2,0,0,0,0,0
25,17,2,0,0,0,0,0
25,18,2,0,0,0,0,0
25,19,2,0,0,0,0,0
25,20,2,0,0,0,0,0
25,21,2,0,0,0,0,0
25,22,2,0,0,0,0,0
25,23,2,0,0,0,0,0
25,24,2,0,0,0,0,0
25,25,2,0,0,0,0,0
25,26,2,0,0,0,0,0
25,27,2,0,0,0,0,0
25,28,2,0,0,0,0,0
25,29,2,0,0,0,0,0
25,30,2,0,0,0,0,0
25,31,2,0,0,0,0,0
30,0,0,2,0,0,0,0
30,1,0,2,0,0,0,0
30,2,0,2,0,0,0,0
30,3,0,2,0,0,0,0
30,4,0,2,0,0,0,0
30,5,0,2,0,0,0,0
30,6,0,2,0,0,0,0
30,7,0,2,0,0,0,0
30,8,0,2,0,0,0,0
30,9,0,2,0,0,0,0
30,10,0,2,0,0,0,0
30,11,0,2,0,0,0,0
30,12,0,2,0,0,0,0
30,13,0,2,0,0,0,0
30,14,0,2,0,0,0,0
30,15,0,2,0,0,0,0
30,16,0,2,0,0,0,0
30,17,0,2,0,0,0,0
30,18,0,2,0,0,0,0
30,19,0,2,0,0,0,0
30,20,0,2,0,0,0,0
30,21,0,2,0,0,0,0
30,22,0,2,0,0,0,0
30,23,0,2,0,0,0,0
30,24,0,2,0,0,0,0
30,25,0,2,0,0,0,0
30,26,0,2,0,0,0,0
30,27,0,2,0,0,0,0
30,28,0,2,0,0,0,0
30,29,0,2,0,0,0,0
30,30,0,2,0,0,0,0
30,31,0,2,0,0,0,0
35,0,-2,0,0,0,0,0
35,1,-2,0,0,0,0,0
35,2,-2,0,0,0,0,0
35,3,-2,0,0,0,0,0
35,4,-2,0,0,0,0,0
35,5,-2,0,0,0,0,0
35,6,-2,0,0,0,0,0
35,7,-2,0,0,0,0,0
35,8,-2,0,0,0,0,0
35,9,-2,0,0,0,0,0
35,10,-2,0,0,0,0,0
35,11,-2,0,0,0,0,0
35,12,-2,0,0,0,0,0
35,13,-2,0,0,0,0,0
35,14,-2,0,0,0,0,0
35,15,-2,0,0,0,0,0
35,16,-2,0,0,0,0,0
35,17,-2,0,0,0,0,0
35,18,-2,0,0,0,0,0
35,19,-2,0,0,0,0,0
35,20,-2,0,0,0,0,0
35,21,-2,0,0,0,0,0
35,22,-2,0,0,0,0,0
35,23,-2,0,0,0,0,0
35,24,-2,0,0,0,0,0
35,25,-2,0,0,0,0,0
35,26,-2,0,0,0,0,0
35,27,-2,0,0,0,0,0
35,28,-2,0,0,0,0,0
35,29,-2,0,0,0,0,0
35,30,-2,0,0,0,0,0
35,31,-2,0,0,0,0,0
40,0,0,-2,0,0,0,0
40,1,0,-2,0,0,0,0
40,2,0,-2,0,0,0,0
40,3,0,-2,0,0,0,0
40,4,0,-2,0,0,0,0
40,5,0,-2,0,0,0,0
40,6,0,-2,0,0,0,0
40,7,0,-2,0,0,0,0
40,8,0,-2,0,0,0,0
40,9,0,-2,0,0,0,0
40,10,0,-2,0,0,0,0
40,11,0,-2,0,0,0,0
40,12,0,-2,0,0,0,0
40,13,0,-2,0,0,0,0
40,14,0,-2,0,0,0,0
40,15,0,-2,0,0,0,0
40,16,0,-2,0,0,0,0
40,17,0,-2,0,0,0,0
40,18,0,-2,0,0,0,0
40,19,0,-2,0,0,0,0
40,20,0,-2,0,0,0,0
40,21,0,-2,0,0,0,0
40,22,0,-2,0,0,0,0
40,23,0,-2,0,0,0,0
40,24,0,-2,0,0,0,0
40,25,0,-2,0,0,0,0
40,26,0,-2,0,0,0,0
40,27,0,-2,0,0,0,0
40,28,0,-2,0,0,0,0
40,29,0,-2,0,0,0,0
40,30,0,-2,0,0,0,0
40,31,0,-2,0,0,0,0
45,0,2,0,0,0,0,0
45,1,2,0,0,0,0,0
45,2,2,0,0,0,0,0
45,3,2,0,0,0,0,0
45,4,2,0,0,0,0,0
45,5,2,0,0,0,0,0
45,6,2,0,0,0,0,0
45,7,2,0,0,0,0,0
45,8,2,0,0,0,0,0
45,9,2,0,0,0,0,0
45,10,2,0,0,0,0,0
45,11,2,0,0,0,0,0
45,12,2,0,0,0,0,0
45,13,2,0,0,0,0,0
45,14,2,0,0,0,0,0
45,15,2,0,0,0,0,0
45,16,2,0,0,0,0,0
45,17,2,0,0,0,0,0
45,18,2,0,0,0,0,0
45,19,2,0,0,0,0,0
45,20,2,0,0,0,0,0
45,21,2,0,0,0,0,0
45,22,2,0,0,0,0,0
45,23,2,0,0,0,0,0
45,24,2,0,0,0,0,0
45,25,2,0,0,0,0,0
45,26,2,0,0,0,0,0
45,27,2,0,0,0,0,0
45,28,2,0,0,0,0,0
45,29,2,0,0,0,0,0
45,30,2,0,0,0,0,0
45,31,2,0,0,0,0,0
50,0,0,2,0,0,0,0
50,1,0,2,0,0,0,0
50,2,0,2,0,0,0,0
50,3,0,2,0,0,0,0
50,4,0,2,0,0,0,0
50,5,0,2,0,0,0,0
50,6,0,2,0,0,0,0
50,7,0,2,0,0,0,0
50,8,0,2,0,0,0,0
50,9,0,2,0,0,0,0
50,10,0,2,0,0,0,0
50,11,0,2,0,0,0,0
50,12,0,2,0,0,0,0
50,13,0,2,0,0,0,0
