time,drone,x,y,z,roll,pitch,yaw
2,0,0,0,2,0,0,0
2,1,0,0,2,0,0,0
2,2,0,0,2,0,0,0
2,3,0,0,2,0,0,0
2,4,0,0,2,0,0,0
2,5,0,0,2,0,0,0
2,6,0,0,2,0,0,0
2,7,0,0,2,0,0,0
2,8,0,0,2,0,0,0
2,9,0,0,2,0,0,0
2,10,0,0,2,0,0,0
2,11,0,0,2,0,0,0
2,12,0,0,2,0,0,0
2,13,0,0,2,0,0,0
2,14,0,0,2,0,0,0
2,15,0,0,2,0,0,0
2,16,0,0,2,0,0,0
2,17,0,0,2,0,0,0
2,18,0,0,2,0,0,0
2,19,0,0,2,0,0,0
2,20,0,0,2,0,0,0
2,21,0,0,2,0,0,0
2,22,0,0,2,0,0,0
2,23,0,0,2,0,0,0
2,24,0,0,2,0,0,0
2,25,0,0,2,0,0,0
2,26,0,0,2,0,0,0
2,27,0,0,2,0,0,0
2,28,0,0,2,0,0,0
2,29,0,0,2,0,0,0
2,30,0,0,2,0,0,0
2,31,0,0,2,0,0,0
5,0,0,0,0,0,0,0
5,1,0,0,0,0,0,0
5,2,0,0,0,0,0,0
5,3,0,0,0,0,0,0
5,4,0,0,0,0,0,0
5,5,0,0,0,0,0,0
5,6,0,0,0,0,0,0
5,7,0,0,0,0,0,0
5,8,0,0,0,0,0,0
5,9,0,0,0,0,0,0
5,10,0,0,0,0,0,0
5,11,0,0,0,0,0,0
5,12,0,0,0,0,0,0
5,13,0,0,0,0,0,0
5,14,0,0,0,0,0,0
5,15,0,0,0,0,0,0
5,16,0,0,0,0,0,0
5,17,0,0,0,0,0,0
5,18,0,0,0,0,0,0
5,19,0,0,0,0,0,0
5,20,0,0,0,0,0,0
5,21,0,0,0,0,0,0
5,22,0,0,0,0,0,0
5,23,0,0,0,0,0,0
5,24,0,0,0,0,0,0
5,25,0,0,0,0,0,0
5,26,0,0,0,0,0,0
5,27,0,0,0,0,0,0
5,28,0,0,0,0,0,0
5,29,0,0,0,0,0,0
5,30,0,0,0,0,0,0
5,31,0,0,0,0,0,0
